-----------------
Synthetic binary system orbital parameters used for testing FOBOS: Few Observation Binary Orbit Solver (Houghton & Goodwin)

1: System index
2: Semi-major axis (au)
3: Eccentricity
4: Inclination (rad)
5: Orientation (rad)
6: Mean anomaly (rad)
7: Mass of primary star (solar masses)
8: Mass of companion star (solar masses)
9: Time between observations (years)
-----------------

B1,54.7220192,0.388067067,0.356834173,-2.14082983e-34,-8.00503789e-35,0.659592927,0.187518135,8.70267677
B2,54.1889839,0.623242855,0.729159951,1.66195762,3.73406744,0.465399057,0.0607170686,9.51251221
B3,18.8308983,0.863893569,0.48468101,3.33995008,5.9349184,0.597886026,0.244400993,10.0735102
B4,189.786301,0.513272405,0.181894436,0.736309886,0.273453653,0.312593341,0.122700334,10.5810966
B5,107.064369,0.441563547,1.1273222,3.89385915,4.12462807,0.267407537,0.13249363,11.3006554
B6,82.760704,0.558414221,0.59034586,4.28120136,1.71384704,0.890182614,0.541454911,8.34945679
B7,87.4595795,0.0197032876,0.679370105,2.04105926,4.35229588,0.651223242,0.220991418,2.39157271
B8,68.7264099,0.954600215,0.424106747,5.81069183,6.13296127,0.753149867,0.0839712694,4.63985777
B9,64.5976181,0.234968811,0.761035264,5.54105091,5.1418252,0.589962721,0.0708797276,9.20862865
B10,91.2651596,0.770893514,0.449397236,5.1353879,3.36956835,1.04691112,0.651399434,6.46164608
B11,68.2133331,0.316113055,1.44188821,2.45598078,6.00144815,0.903226972,0.277847946,7.24605989
B12,117.445015,0.642347217,0.814252973,3.39051294,3.98187804,0.339847177,0.130194351,11.4113331
B13,183.502106,0.682386458,0.116890587,6.03836012,0.644130349,0.424832016,0.37928918,3.93814301
B14,144.635193,0.0912787318,1.20293176,3.67698097,1.03546166,0.650741637,0.39133063,9.48382187
B15,150.023438,0.0404275395,0.155296117,1.75131214,2.93752217,0.683839738,0.388888597,6.65192413
B16,192.233948,0.737691998,0.776375055,3.61439323,5.20281744,0.282994866,0.0162225105,11.5857744
B17,63.169548,0.114859141,0.924894094,3.94568825,5.70498323,0.800997972,0.290536582,7.42684555
B18,94.6863098,0.000599197519,0.163201347,2.98162699,3.98269391,0.780214787,0.455006182,3.30491471
B19,70.6340179,0.17087695,0.455388069,2.5700376,1.2416662,0.735134602,0.101520836,2.02236676
B20,74.3423691,0.693091571,0.425493956,2.22119021,2.44610453,0.857561648,0.511766076,3.35356283
B21,249.976562,0.0137978531,0.688836634,0.813819826,3.6084311,0.827850223,0.149842456,11.7031126
B22,233.205551,0.207297981,0.56030488,6.19748497,5.75775528,1.00887108,0.379595578,7.78177738
B23,256.988739,0.440291882,0.798473418,6.04491377,5.83945084,1.01069415,0.663862586,9.5692215
B24,232.84906,0.635564446,0.0207344014,0.788688481,4.73737669,0.734669745,0.489295959,11.4393892
B25,322.944031,0.833326578,0.358105779,1.10099852,6.25794315,0.699878693,0.271526039,11.769865
B26,319.419373,0.559604168,0.797256351,0.978708982,0.669073462,0.614970207,0.106011763,10.3578634
B27,206.496536,0.0669652969,0.461984992,3.6734314,3.67396164,0.597530246,0.0202892758,11.1463575
B28,315.180298,0.37658146,0.00062500604,5.12729025,2.54703665,1.08383036,0.637302995,8.3562355
B29,383.717651,0.354533851,0.172007799,1.66338158,2.5943594,0.665286124,0.515376031,7.62883329
B30,370.290955,0.0152102793,0.382475346,6.17801285,4.6991868,0.590805173,0.346193612,9.51322556
B31,415.981567,0.862871647,1.45243669,1.53667283,0.177877858,0.907889605,0.497174978,11.1898746
B32,443.577637,0.669200897,0.212636396,5.91473961,6.14130926,0.488135159,0.158084527,10.9479876
B33,423.872803,0.191717148,0.480573475,5.01469517,5.94778204,1.33134329,0.68038249,9.26406097
B34,340.838562,0.0422615968,0.398428231,5.40700436,2.25518012,1.10442626,0.499196291,10.5316172
B35,286.098694,0.196303204,0.615032911,3.65400076,3.32259083,0.946041942,0.661261261,10.3701544
B36,392.064636,0.919781089,0.547201633,0.218016624,6.1934433,0.662041187,0.360619634,9.8799696
B37,403.194855,0.75728792,0.462709248,2.87388396,6.28107929,0.712770581,0.355323225,10.9689474
B38,368.777893,0.822348118,0.663166523,1.7108227,0.419598728,0.498083651,0.080069676,9.06179237
B39,438.219971,0.401907057,0.095185101,3.22358131,0.251524687,0.914815545,0.614670634,11.7113695
B40,370.404602,0.0890335217,0.702923417,0.541092098,4.69360399,1.12119651,0.535907507,7.4494133
B41,8.96551323,0.623242855,0.729159951,1.66195762,3.73406744,0.465399057,0.0607170686,9.51251221
B42,13.3738699,0.260107666,0.0826056749,4.6341095,5.01751137,0.885557294,0.221402109,9.69458199
B43,16.3124962,0.822544038,0.828879178,1.42061877,1.4097054,0.628668785,0.349374443,5.62835217
B44,4.1921711,0.863893569,0.48468101,3.33995008,5.9349184,0.597886026,0.244400993,10.0735102
B45,29.1690159,0.650861204,0.556594074,6.08309841,3.80870819,0.799626946,0.174200848,6.54151869
B46,27.2711506,0.513272405,0.181894436,0.736309886,0.273453653,0.312593341,0.122700334,10.5810966
B47,18.8053589,0.785687447,0.924936533,0.394117832,0.893262029,0.332671821,0.160280988,3.79633665
B48,16.1036911,0.441563547,1.1273222,3.89385915,4.12462807,0.267407537,0.13249363,11.3006554
B49,12.8226948,0.558414221,0.59034586,4.28120136,1.71384704,0.890182614,0.541454911,8.34945679
B50,9.62765884,0.93411535,0.441743076,1.01558757,2.24271584,0.200607121,0.119013317,10.6452084
B51,138.601501,0.808163285,0.282726616,2.63647246,4.93489552,1.11582541,0.487540781,11.9110432
B52,139.539368,0.0629697889,0.238884822,3.26958323,0.88106674,0.787561178,0.670752168,9.35429096
B53,142.071564,0.137438267,0.701960921,0.0277997218,5.57330799,0.87071228,0.580254734,4.88075256
B54,81.5195389,0.342689753,0.196834192,1.34622121,5.43241644,0.700727165,0.537667811,6.81907463
B55,76.9067154,0.282540977,0.254487514,0.686556995,5.60785389,0.80369246,0.480842263,7.67740917
B56,78.49897,0.0659532771,0.158611953,1.09988332,5.44437075,1.13981771,0.508127749,3.61100054
B57,169.266342,0.573305786,1.00933266,4.47342396,6.04716921,0.752292454,0.482329845,3.96497679
B58,182.871643,0.199965715,0.0464162566,1.1840781,6.05779314,0.682029247,0.0156169739,4.54577637
B59,156.806854,0.312953383,0.359938323,5.94065332,6.19968557,0.553126454,0.25940007,10.8552389
B60,110.930527,0.182378903,0.354067773,3.43088794,0.714964986,1.08236122,0.628778219,3.45997167
